,PJME_MW,hour,day_of_week,quarter,week,month,year,dayofyear,hour_sin,hour_cos,month_sin,month_cos,is_holiday,days_to_holiday,ma_7d,ma_30d,ma_90d,roll_std_7d,roll_min_7d,roll_max_7d,ewma_7d,ewma_30d,lag_1h,lag_2h,lag_3h,lag_6h,lag_12h,lag_24h,lag_48h,lag_168h
2002-04-02 02:00:00,23534.0,2,1,2,14,4,2002,92,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,43,27307.85714285714,28756.42361111111,30012.677314814813,4173.797953508851,19247.0,35207.0,26853.474332195616,28511.120664430677,24372.0,26028.0,28381.0,32619.0,30414.0,20971.0,20010.0,24389.0
2002-04-02 03:00:00,23243.0,3,1,2,14,4,2002,92,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,43,27303.20238095238,28758.2625,30010.79861111111,4177.915056851836,19247.0,35207.0,26810.74682530552,28496.473609355828,23534.0,24372.0,26028.0,32123.0,29881.0,20721.0,19447.0,24025.0
2002-04-02 04:00:00,23296.0,4,1,2,14,4,2002,92,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,43,27298.934523809523,28760.929166666665,30008.837037037036,4181.660755290108,19247.0,35207.0,26769.152188319455,28482.014727108017,23243.0,23534.0,24372.0,30581.0,29504.0,20771.0,19247.0,24013.0
2002-04-02 05:00:00,23924.0,5,1,2,14,4,2002,92,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,43,27295.029761904763,28764.625,30006.7625,4184.520154958292,19247.0,35207.0,26735.481748220842,28469.342154766153,23296.0,23243.0,23534.0,28381.0,29250.0,21334.0,19258.0,24580.0
2002-04-02 06:00:00,25734.0,6,1,2,14,4,2002,92,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,43,27289.98214285714,28770.518055555556,30004.441203703704,4185.896632317287,19247.0,35207.0,26723.629893212255,28461.737176938626,23924.0,23296.0,23243.0,26028.0,29455.0,23015.0,19725.0,26582.0
2002-04-02 07:00:00,28545.0,7,1,2,14,4,2002,92,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,43,27280.76785714286,28779.2875,30001.580092592594,4181.390845266243,19247.0,35207.0,26745.184569032328,28461.968668237532,25734.0,23924.0,23296.0,24372.0,30997.0,25514.0,20018.0,30093.0
2002-04-02 08:00:00,30552.0,8,1,2,14,4,2002,92,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,43,27269.39285714286,28789.941666666666,29998.45,4169.791995035767,19247.0,35207.0,26790.235639221504,28467.779436967125,28545.0,25734.0,23924.0,23534.0,32619.0,28033.0,21440.0,32463.0
2002-04-02 09:00:00,31091.0,9,1,2,14,4,2002,92,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,43,27255.934523809523,28798.8625,29995.56527777778,4153.659914377858,19247.0,35207.0,26841.13225887592,28475.072548642373,30552.0,28545.0,25734.0,23243.0,32123.0,29560.0,22997.0,33352.0
2002-04-02 10:00:00,31202.0,10,1,2,14,4,2002,92,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,43,27240.696428571428,28806.161111111112,29992.864814814813,4134.299555122209,19247.0,35207.0,26892.74016113798,28482.653939877087,31091.0,30552.0,28545.0,23296.0,30581.0,30333.0,24076.0,33762.0
2002-04-02 11:00:00,31332.0,11,1,2,14,4,2002,92,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0,43,27223.684523809523,28812.668055555554,29990.352777777778,4111.349563733018,19247.0,35207.0,26945.27578053303,28490.57562909672,31202.0,31091.0,30552.0,23924.0,28381.0,30803.0,24370.0,34190.0
2002-04-02 12:00:00,31192.0,12,1,2,14,4,2002,92,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0,43,27205.815476190477,28818.6,29987.99537037037,4087.326836251952,19247.0,35207.0,26995.53287188789,28498.08602272915,31332.0,31202.0,31091.0,25734.0,26028.0,30881.0,24333.0,34194.0
2002-04-02 13:00:00,30837.0,13,1,2,14,4,2002,92,-0.2588190451025208,-0.9659258262890683,0.8660254037844387,-0.4999999999999998,0,43,27187.309523809523,28824.026388888888,29985.814351851852,4063.5962877540364,19247.0,35207.0,27040.99402133321,28504.588538697255,31192.0,31332.0,31202.0,28545.0,24372.0,30605.0,24203.0,33946.0
2002-04-02 14:00:00,30629.0,14,1,2,14,4,2002,92,-0.4999999999999997,-0.8660254037844388,0.8660254037844387,-0.4999999999999998,0,43,27168.64880952381,28829.76111111111,29983.800925925927,4040.345885679372,19247.0,35207.0,27083.455630548386,28510.494670212465,30837.0,31192.0,31332.0,30552.0,23534.0,30414.0,23874.0,33764.0
2002-04-02 15:00:00,30313.0,15,1,2,14,4,2002,92,-0.7071067811865471,-0.7071067811865479,0.8660254037844387,-0.4999999999999998,0,43,27150.660714285714,28835.743055555555,29981.953240740742,4019.4010350551716,19247.0,35207.0,27121.67509054206,28515.505831051752,30629.0,30837.0,31192.0,31091.0,23243.0,29881.0,23508.0,33335.0
2002-04-02 16:00:00,29855.0,16,1,2,14,4,2002,92,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,0,43,27131.083333333332,28841.07638888889,29979.95601851852,3997.987208279233,19247.0,35207.0,27154.022130890808,28519.229747484056,30313.0,30629.0,30837.0,31202.0,23296.0,29504.0,23405.0,33144.0
2002-04-02 17:00:00,29553.0,17,1,2,14,4,2002,92,-0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,43,27107.70238095238,28844.834722222222,29977.12222222222,3972.030947891992,19247.0,35207.0,27182.412401531274,28522.103705714795,29855.0,30313.0,30629.0,31332.0,23924.0,29250.0,23664.0,33481.0
2002-04-02 18:00:00,29779.0,18,1,2,14,4,2002,92,-1.0,-1.8369701987210297e-16,0.8660254037844387,-0.4999999999999998,0,43,27081.029761904763,28846.9,29972.606944444444,3938.6195755346903,19247.0,35207.0,27213.141248850556,28525.59794945854,29553.0,29855.0,30313.0,31192.0,25734.0,29455.0,24328.0,34260.0
2002-04-02 19:00:00,31069.0,19,1,2,14,4,2002,92,-0.9659258262890684,0.2588190451025203,0.8660254037844387,-0.4999999999999998,0,43,27056.39880952381,28848.068055555555,29968.471296296295,3900.249897014259,19247.0,34956.0,27258.772713361384,28532.668709588103,29779.0,29553.0,29855.0,30837.0,28545.0,30997.0,26048.0,35207.0
2002-04-02 20:00:00,32442.0,20,1,2,14,4,2002,92,-0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,43,27041.434523809523,28850.74861111111,29965.21111111111,3874.497384656574,19247.0,34714.0,27320.11268125085,28543.536741553988,31069.0,29779.0,29553.0,30629.0,30552.0,32619.0,26796.0,34956.0
2002-04-02 21:00:00,31730.0,21,1,2,14,4,2002,92,-0.7071067811865477,0.7071067811865474,0.8660254037844387,-0.4999999999999998,0,43,27029.160714285714,28853.144444444446,29961.9875,3856.207462258716,19247.0,34714.0,27372.30069685755,28552.39512954838,32442.0,31069.0,29779.0,30313.0,31091.0,32123.0,26680.0,33792.0
2002-04-02 22:00:00,29973.0,22,1,2,14,4,2002,92,-0.5000000000000004,0.8660254037844384,0.8660254037844387,-0.4999999999999998,0,43,27018.190476190477,28854.37222222222,29958.72685185185,3845.113745002096,19247.0,34714.0,27403.078203403737,28556.344396048986,31730.0,32442.0,31069.0,29855.0,31202.0,30581.0,25920.0,31816.0
